candidate_id,batch_id,candidate_name,gender,dob,age,domisili,pendidikan,universitas,jurusan,ipk,pengalaman_kerja_tahun,sertifikasi,source_recruitment
C00001,B091,"Balidin Dongoran, S.T.",Male,2003-08-09,23,Pontianak,S1,Institut Teknologi Bandung,Akuntansi,3.06,0,Google Data Analytics,Reguler
C00002,B090,Darmana Mandala,Male,1998-07-17,28,Jakarta,S2,Universitas Padjadjaran,Teknik Sipil,3.83,0,TOEFL,Campus Hiring
C00003,B092,"Ciaobella Wastuti, M.Pd",Male,2003-03-04,23,Medan,S1,Universitas Indonesia,Teknik Mesin,3.5,0,None,Job Fair Kampus
C00004,B092,Lantar Anggraini,Male,1996-04-21,30,Medan,S1,Universitas Indonesia,Teknik Mesin,2.85,0,None,Reguler
C00005,B092,Among Iswahyudi,Female,2000-07-16,26,Surabaya,S1,Universitas Diponegoro,Sistem Informasi,3.14,0,Google Data Analytics,Reguler
C00006,B092,Daruna Mayasari,Male,2002-08-14,24,Surabaya,S1,Universitas Padjadjaran,Psikologi,3.04,0,Google Data Analytics,Campus Hiring
C00007,B092,Cut Putri Napitupulu,Male,1997-12-12,29,Medan,S1,Universitas Padjadjaran,Teknik Industri,3.12,0,None,Campus Hiring
C00008,B092,"Sadina Palastri, S.Farm",Male,1999-05-02,27,Semarang,S1,Universitas Gadjah Mada,Psikologi,2.92,0,TOEFL,Reguler
C00009,B092,Ikin Rahmawati,Male,2001-04-19,25,Surabaya,S1,Universitas Gadjah Mada,Psikologi,3.08,0,None,Job Fair Kampus
C00010,B092,Yessi Ardianto,Female,1999-01-23,27,Semarang,S1,Universitas Brawijaya,Ilmu Komunikasi,3.45,0,None,Reguler
C00011,B091,"KH. Capa Anggraini, S.Psi",Male,2004-04-01,22,Surabaya,S1,Universitas Airlangga,Teknik Elektro,3.66,0,CCNA,Career Expo
C00012,B091,Eva Pratama,Female,2005-03-19,21,Medan,S1,Universitas Indonesia,Manajemen,3.25,1,CCNA,Reguler
C00013,B092,"Tgk. Baktiono Iswahyudi, S.Sos",Male,2003-06-05,23,Makassar,S1,Universitas Airlangga,Administrasi Bisnis,3.01,2,AWS CCP,Campus Hiring
C00014,B092,Gatot Situmorang,Female,2004-10-27,22,Surabaya,S1,Institut Teknologi Bandung,Teknik Sipil,3.94,1,CCNA,Reguler
C00015,B090,Tgk. Yani Gunawan,Male,2004-06-26,22,Makassar,S1,Universitas Gadjah Mada,Manajemen,3.2,1,None,Reguler
C00016,B090,"Michelle Nasyiah, S.IP",Female,2004-02-27,22,Jakarta,S1,Universitas Diponegoro,Administrasi Bisnis,3.05,1,TOEFL,Reguler
C00017,B091,Cindy Puspasari,Male,2001-01-13,25,Palembang,S1,Universitas Airlangga,Teknik Industri,3.46,4,None,Campus Hiring
C00018,B092,Yance Utami,Male,2004-02-26,22,Bandung,S1,Universitas Indonesia,Hukum,3.21,0,Google Data Analytics,Reguler
C00019,B092,dr. Ratih Nababan,Male,2002-02-11,24,Palembang,S1,Universitas Gadjah Mada,Teknik Informatika,3.53,2,None,Reguler
C00020,B091,"Betania Gunawan, S.H.",Female,2004-04-14,22,Yogyakarta,S1,Universitas Diponegoro,Administrasi Bisnis,3.09,2,None,Campus Hiring
C00021,B090,"T. Bahuwirya Pradipta, S.IP",Female,2004-06-01,22,Makassar,S1,Institut Teknologi Sepuluh Nopember,Teknik Sipil,2.92,1,None,Campus Hiring
C00022,B090,Indah Hasanah,Male,2003-02-10,23,Bandung,S1,Universitas Sebelas Maret,Psikologi,3.27,0,None,Reguler
C00023,B091,"Rafid Utama, S.E.",Male,2003-05-15,23,Surabaya,S1,Universitas Indonesia,Teknik Mesin,2.9,1,None,Campus Hiring
C00024,B092,Kamila Pranowo,Male,2002-07-27,24,Pontianak,S1,Institut Teknologi Sepuluh Nopember,Teknik Informatika,3.37,1,None,BUMN Bersama
C00025,B092,"Emas Zulaika, S.Pt",Male,2003-09-26,23,Makassar,S2,Universitas Gadjah Mada,Teknik Informatika,3.94,0,None,Reguler
C00026,B091,Hj. Ella Nasyidah,Male,2004-07-03,22,Surabaya,S1,Telkom University,Psikologi,3.11,0,CCNA,BUMN Bersama
C00027,B092,"Hesti Marpaung, M.M.",Male,2005-09-13,21,Jakarta,S1,Telkom University,Teknik Sipil,3.51,0,AK3,Reguler
C00028,B090,Humaira Uyainah,Male,2004-10-19,22,Bandung,S1,Universitas Diponegoro,Akuntansi,3.84,2,Google Data Analytics,Career Expo
C00029,B092,"Puti Prasetya, S.Psi",Female,2003-08-19,23,Pontianak,S1,Telkom University,Teknik Elektro,3.62,0,None,Reguler
C00030,B090,"Cut Ghaliyati Firmansyah, S.Psi",Female,2002-01-24,24,Yogyakarta,S1,Universitas Diponegoro,Teknik Sipil,3.14,2,None,Campus Hiring
C00031,B092,Hasna Haryanto,Male,1997-04-05,29,Yogyakarta,S1,Universitas Padjadjaran,Sistem Informasi,3.53,0,None,Reguler
C00032,B090,Vino Purnawati,Female,2001-09-28,25,Yogyakarta,S1,Universitas Sebelas Maret,Teknik Elektro,3.28,0,AK3,Campus Hiring
C00033,B091,"Iriana Prabowo, M.Kom.",Male,2004-04-27,22,Semarang,S1,Universitas Diponegoro,Teknik Elektro,3.24,0,None,Reguler
C00034,B092,Syahrini Haryanti,Male,2002-04-12,24,Pontianak,S1,Universitas Sebelas Maret,Teknik Industri,3.22,0,None,Career Expo
C00035,B091,Eman Mandala,Male,2004-07-02,22,Semarang,S1,Institut Teknologi Sepuluh Nopember,Teknik Informatika,3.61,1,None,Reguler
C00036,B092,Panca Purwanti,Male,2000-11-01,26,Jakarta,S1,Institut Teknologi Sepuluh Nopember,Teknik Mesin,3.1,1,AK3,Reguler
C00037,B092,T. Pangeran Padmasari,Female,2003-07-28,23,Balikpapan,S1,Telkom University,Teknik Sipil,3.28,0,None,Campus Hiring
