ID_PENDAFTARAN,NAMA REKRUTMEN,JENJANG,USIA,PRODI,JURUSAN ASAL PERGURUAN TINGGI / SEKOLAH,NEM/IPK,GELAR,JENIS KELAMIN,NAMA,AGAMA,STATUS,NO KTP,NO PONSEL,EMAIL,TAHUN LAHIR,BULAN LAHIR,TANGGAL LAHIR,TEMPAT LAHIR,KOTA KTP,ALAMAT KTP,KODE POS,TAHUN LULUS SMA,TAHUN MASUK SMA,TAHUN LULUS SMP,TAHUN MASUK SMP,TAHUN LULUS SD,TAHUN MASUK SD,ASAL SD/KOTA,ASAL SMP/KOTA,ASAL SMA/KOTA,UKURAN BAJU,UKURAN SEPATU,UKURAN CELANA,VERIFIKATOR,UMUR,STATUS NIKAH,IPK,JURUSAN,KTP,AKTA,IJAZAH,TRANSKRIP,ENGLISH SKILL
REG-2026-00001,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,25,Sastra Inggris,Universitas Muhammadiyah Yogyakarta,3.91,M.M.,Laki-laki,Manah Pranowo,Islam,Belum Kawin,2968803239219001,+62 (053) 678 9673,manahprano394@pln.co.id,2001,4,18,Cilegon,Cilegon,Gg. M.T Haryono No. 81,24373,2019,2016,2016,2013,2013,2007,Pariaman,Pematangsiantar,Depok,XXL,44,40,Ratna Sari,1,1,1,0,1,1,1,1,1
REG-2026-00002,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,23,MANAJEMEN,Universitas Indonesia,3.76,S.E.,Perempuan,Kezia Puspasari,Islam,Belum Kawin,7750770004890978,+62-41-594-4915,keziapuspa991@yahoo.com,2003,1,18,Pekanbaru,Pekanbaru,Jalan Rungkut Industri No. 822,25606,2021,2018,2018,2015,2015,2009,Pontianak,Parepare,Gorontalo,S,39,42,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00003,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,24,KONVERSI ENERGI,Universitas Udayana,3.47,S.E.,Perempuan,Talia Utami,Islam,Belum Kawin,3347602522116882,+62 (048) 254-1852,taliautami23@yahoo.com,2002,11,25,Solok,Solok,Gg. HOS. Cokroaminoto No. 454,42691,2020,2017,2017,2014,2014,2008,Semarang,Jayapura,Tangerang,M,36,32,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-00004,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,24,TEKNIK BIOENERGI,Telkom University,3.01,M.M.,Perempuan,Dina Safitri,Islam,Belum Kawin,7019315663755533,(0223) 462-9784,dinasafitr356@yahoo.com,2002,11,20,Prabumulih,Prabumulih,Gang Cikutra Timur No. 7,81615,2020,2017,2017,2014,2014,2008,Metro,Semarang,Payakumbuh,XXXL,43,37,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-00005,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,ENERGI BARU TERBARUKAN,Universitas Sumatera Utara,3.18,S.E.,Perempuan,Ophelia Aryani,Islam,Kawin,8236118133006639,+62-59-850-8726,opheliaary428@outlook.com,2001,12,15,Pematangsiantar,Pematangsiantar,Jl. Kiaracondong No. 56,24867,2019,2016,2016,2013,2013,2007,Tegal,Payakumbuh,Tidore Kepulauan,M,43,29,Eko Prasetyo,1,0,1,1,1,1,1,1,1
REG-2026-00006,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA FRESH GRADUATE,S2,26,DIGITAL MARKETING DAN ANALYTICS,Universitas Sam Ratulangi,3.96,M.M.,Laki-laki,Cakrabuana Najmudin,Islam,Belum Kawin,4579362676092952,+62 (87) 689-8846,cakrabuana37@gmail.com,2000,10,13,Sabang,Sabang,Gg. Sentot Alibasa No. 4,25481,2018,2015,2015,2012,2012,2006,Pekalongan,Tual,Pontianak,XL,44,31,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-00007,REKRUTMEN PLN GROUP DIRECT SHOPPING,S1,21,TEKNIK MESIN,BINUS University,4.0,S.T.,Perempuan,Maida Usamah,Islam,Belum Kawin,5289161384088704,0880443588,maidausama525@outlook.com,2005,11,5,Surabaya,Surabaya,Jalan Kebonjati No. 4,68790,2023,2020,2020,2017,2017,2011,Probolinggo,Kupang,Sabang,S,41,41,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-00008,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA EXPERIENCED,S2,28,MANAJEMEN BISNIS,Universitas Pendidikan Indonesia,3.11,M.M.,Laki-laki,Garang Dongoran,Islam,Belum Kawin,1771192689324079,085 639 0095,garangdong562@gmail.com,1998,9,24,Subulussalam,Subulussalam,Gang Stasiun Wonokromo No. 0,99495,2016,2013,2013,2010,2010,2004,Batam,Pangkalpinang,Kotamobagu,M,45,37,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-00009,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,TEKNIK INDUSTRI,Universitas Muhammadiyah Yogyakarta,3.02,S.T.,Laki-laki,Edi Hutapea,Kristen,Belum Kawin,2677358656896904,+62-95-502-5566,edihutapea932@yahoo.com,2005,10,10,Batu,Batu,Gg. Erlangga No. 0,27247,2023,2020,2020,2017,2017,2011,Madiun,Pariaman,Kupang,XXXL,37,30,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00010,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,27,BIG DATA DAN BUSINESS INTELLIGENCE,Universitas Lambung Mangkurat,3.37,M.M.,Laki-laki,Umay Utama,Islam,Kawin,2964529678585805,(0418) 233-3606,umayutama702@gmail.com,1999,2,25,Lubuklinggau,Lubuklinggau,Jl. Ciwastra No. 2,15387,2017,2014,2014,2011,2011,2005,Kota Administrasi Jakarta Barat,Palopo,Probolinggo,XXL,39,34,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
