NO TES,EMAIL,NAMA,PRODI,Ak Jawaban Benar,Ak Jawaban Salah,Ak Jawaban Kosong,Ak Skor,En Jawaban Benar,En Jawaban Salah,En Jawaban Kosong,En Skor,TOTAL SKOR AKDING
TES-AKD-2026-00001,keziapuspa991@yahoo.com,Kezia Puspasari,MANAJEMEN,30,17,3,103,29,21,0,95,198
TES-AKD-2026-00002,taliautami23@yahoo.com,Talia Utami,KONVERSI ENERGI,22,26,2,62,32,16,2,112,174
TES-AKD-2026-00003,dinasafitr356@yahoo.com,Dina Safitri,TEKNIK BIOENERGI,41,5,4,159,40,8,2,152,311
TES-AKD-2026-00004,cakrabuana37@gmail.com,Cakrabuana Najmudin,DIGITAL MARKETING DAN ANALYTICS,29,20,1,96,35,11,4,129,225
TES-AKD-2026-00005,maidausama525@outlook.com,Maida Usamah,TEKNIK MESIN,39,8,3,148,32,14,4,114,262
TES-AKD-2026-00006,garangdong562@gmail.com,Garang Dongoran,MANAJEMEN BISNIS,30,18,2,102,37,11,2,137,239
TES-AKD-2026-00007,edihutapea932@yahoo.com,Edi Hutapea,TEKNIK INDUSTRI,35,14,1,126,18,29,3,43,169
TES-AKD-2026-00008,umayutama702@gmail.com,Umay Utama,BIG DATA DAN BUSINESS INTELLIGENCE,28,17,5,95,27,21,2,87,182
TES-AKD-2026-00009,garaharyan541@pln.co.id,Gara Haryanto,TEKNIK SIPIL,40,8,2,152,22,24,4,64,216
TES-AKD-2026-00010,julihartat113@gmail.com,Juli Hartati,TEKNIK INFORMATIKA,44,1,5,175,34,15,1,121,296
TES-AKD-2026-00011,argonoadri87@yahoo.com,Argono Adriansyah,TEKNIK LINGKUNGAN,32,18,0,110,37,10,3,138,248
TES-AKD-2026-00012,gandihakim672@pln.co.id,Gandi Hakim,ADMINISTRASI BISNIS,35,15,0,125,28,17,5,95,220
TES-AKD-2026-00013,gabriellap992@outlook.com,Gabriella Pudjiastuti,ADMINISTRASI,28,21,1,91,26,19,5,85,176
TES-AKD-2026-00014,aslijannap681@pln.co.id,Aslijan Napitupulu,MANAJEMEN BISNIS,40,6,4,154,38,10,2,142,296
TES-AKD-2026-00015,dartonolat509@yahoo.com,Dartono Latupono,TEKNIK ELEKTRO,28,22,0,90,37,10,3,138,228
TES-AKD-2026-00016,karenwahyu877@yahoo.com,Karen Wahyuni,MANAJEMEN BISNIS,26,19,5,85,39,8,3,148,233
TES-AKD-2026-00017,azaleakusw746@yahoo.com,Azalea Kuswandari,TEKNIK MESIN,45,1,4,179,31,18,1,106,285
TES-AKD-2026-00018,kasusrapra572@outlook.com,Kasusra Prasetyo,AKUNTANSI,32,13,5,115,17,29,4,39,154
TES-AKD-2026-00019,maimunahsu379@gmail.com,Maimunah Suartini,TEKNIK MESIN,39,6,5,150,27,23,0,85,235
TES-AKD-2026-00020,kalahakim419@yahoo.com,Kala Hakim,TEKNIK LISTRIK,47,3,0,185,26,24,0,80,265
TES-AKD-2026-00021,endramangu898@yahoo.com,Endra Mangunsong,MANAJEMEN INVESTASI BANK,27,18,5,90,27,23,0,85,175
TES-AKD-2026-00022,galurwibow116@pln.co.id,Galur Wibowo,TEKNIK PERTAMBANGAN,23,25,2,67,35,13,2,127,194
TES-AKD-2026-00023,amaliaagus555@yahoo.com,Amalia Agustina,KONVERSI ENERGI,33,15,2,117,25,21,4,79,196
TES-AKD-2026-00024,pandupange129@gmail.com,Pandu Pangestu,PROGRAM STUDI LAINNYA NON TEKNIK,34,16,0,120,27,22,1,86,206
TES-AKD-2026-00025,harisihota944@pln.co.id,Hari Sihotang,KOMUNIKASI,27,18,5,90,42,8,0,160,250
TES-AKD-2026-00026,ikinhidaya658@pln.co.id,Ikin Hidayanto,TEKNIK MESIN,34,11,5,125,30,19,1,101,226
TES-AKD-2026-00027,rahminasyi858@pln.co.id,Rahmi Nasyidah,ADMINISTRASI BISNIS,22,27,1,61,24,22,4,74,135
TES-AKD-2026-00028,bakimanram767@yahoo.com,Bakiman Ramadan,AKUNTANSI,29,19,2,97,22,27,1,61,158
TES-AKD-2026-00029,primautama257@yahoo.com,Prima Utama,MANAJEMEN BISNIS,37,9,4,139,18,30,2,42,181
TES-AKD-2026-00030,jayadimang376@pln.co.id,Jayadi Mangunsong,MANAJEMEN PROYEK,33,14,3,118,30,16,4,104,222
TES-AKD-2026-00031,umaylatupo271@pln.co.id,Umay Latupono,KOMUNIKASI,22,27,1,61,29,20,1,96,157
TES-AKD-2026-00032,sakuranurd357@outlook.com,Sakura Nurdiyanti,KEUANGAN,47,1,2,187,30,15,5,105,292
TES-AKD-2026-00033,ismailpras401@outlook.com,Ismail Prasetyo,TEKNIK KIMIA,35,11,4,129,21,24,5,60,189
TES-AKD-2026-00034,mutiausada586@outlook.com,Mutia Usada,TEKNIK SIPIL,38,10,2,142,14,35,1,21,163
