NO TES,EMAIL,NAMA,PRODI,Kesimpulan,Hasil
TES-AKD-2026-00001,keziapuspa991@yahoo.com,Kezia Puspasari,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00002,taliautami23@yahoo.com,Talia Utami,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00003,dinasafitr356@yahoo.com,Dina Safitri,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00005,maidausama525@outlook.com,Maida Usamah,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00006,garangdong562@gmail.com,Garang Dongoran,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00007,edihutapea932@yahoo.com,Edi Hutapea,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00008,umayutama702@gmail.com,Umay Utama,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00009,garaharyan541@pln.co.id,Gara Haryanto,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00010,julihartat113@gmail.com,Juli Hartati,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00011,argonoadri87@yahoo.com,Argono Adriansyah,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00015,dartonolat509@yahoo.com,Dartono Latupono,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00017,azaleakusw746@yahoo.com,Azalea Kuswandari,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00019,maimunahsu379@gmail.com,Maimunah Suartini,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00020,kalahakim419@yahoo.com,Kala Hakim,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00021,endramangu898@yahoo.com,Endra Mangunsong,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00022,galurwibow116@pln.co.id,Galur Wibowo,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00024,pandupange129@gmail.com,Pandu Pangestu,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00025,harisihota944@pln.co.id,Hari Sihotang,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00026,ikinhidaya658@pln.co.id,Ikin Hidayanto,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00027,rahminasyi858@pln.co.id,Rahmi Nasyidah,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00028,bakimanram767@yahoo.com,Bakiman Ramadan,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00030,jayadimang376@pln.co.id,Jayadi Mangunsong,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00032,sakuranurd357@outlook.com,Sakura Nurdiyanti,KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00033,ismailpras401@outlook.com,Ismail Prasetyo,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00034,mutiausada586@outlook.com,Mutia Usada,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00035,darmajitam633@yahoo.com,Darmaji Tampubolon,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00038,calistasur250@gmail.com,Calista Suryatmi,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00039,puputsusan396@outlook.com,Puput Susanti,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
