NO TES,EMAIL,NAMA,PRODI,KATEGORI,ABSTRACT_REASONING,VERBAL_REASONING,NUMERICAL_REASONING,TOTAL
TES-AKD-2026-00001,keziapuspa991@yahoo.com,Kezia Puspasari,MANAJEMEN,I,7,7,6,20
TES-AKD-2026-00002,taliautami23@yahoo.com,Talia Utami,KONVERSI ENERGI,I,8,4,7,19
TES-AKD-2026-00003,dinasafitr356@yahoo.com,Dina Safitri,TEKNIK BIOENERGI,I,10,5,7,22
TES-AKD-2026-00004,cakrabuana37@gmail.com,Cakrabuana Najmudin,DIGITAL MARKETING DAN ANALYTICS,II,3,6,6,15
TES-AKD-2026-00005,maidausama525@outlook.com,Maida Usamah,TEKNIK MESIN,I,10,7,8,25
TES-AKD-2026-00006,garangdong562@gmail.com,Garang Dongoran,MANAJEMEN BISNIS,I,4,8,6,18
TES-AKD-2026-00007,edihutapea932@yahoo.com,Edi Hutapea,TEKNIK INDUSTRI,I,8,6,10,24
TES-AKD-2026-00008,umayutama702@gmail.com,Umay Utama,BIG DATA DAN BUSINESS INTELLIGENCE,I,9,7,9,25
TES-AKD-2026-00009,garaharyan541@pln.co.id,Gara Haryanto,TEKNIK SIPIL,I,8,4,7,19
TES-AKD-2026-00010,julihartat113@gmail.com,Juli Hartati,TEKNIK INFORMATIKA,I,5,5,6,16
TES-AKD-2026-00011,argonoadri87@yahoo.com,Argono Adriansyah,TEKNIK LINGKUNGAN,I,7,7,9,23
TES-AKD-2026-00012,gandihakim672@pln.co.id,Gandi Hakim,ADMINISTRASI BISNIS,II,6,5,7,18
TES-AKD-2026-00013,gabriellap992@outlook.com,Gabriella Pudjiastuti,ADMINISTRASI,II,5,9,4,18
TES-AKD-2026-00014,aslijannap681@pln.co.id,Aslijan Napitupulu,MANAJEMEN BISNIS,II,7,9,6,22
TES-AKD-2026-00015,dartonolat509@yahoo.com,Dartono Latupono,TEKNIK ELEKTRO,I,8,7,8,23
TES-AKD-2026-00016,karenwahyu877@yahoo.com,Karen Wahyuni,MANAJEMEN BISNIS,II,8,8,8,24
TES-AKD-2026-00017,azaleakusw746@yahoo.com,Azalea Kuswandari,TEKNIK MESIN,I,10,3,8,21
TES-AKD-2026-00018,kasusrapra572@outlook.com,Kasusra Prasetyo,AKUNTANSI,II,9,6,5,20
TES-AKD-2026-00019,maimunahsu379@gmail.com,Maimunah Suartini,TEKNIK MESIN,I,7,2,9,18
TES-AKD-2026-00020,kalahakim419@yahoo.com,Kala Hakim,TEKNIK LISTRIK,I,7,5,8,20
TES-AKD-2026-00021,endramangu898@yahoo.com,Endra Mangunsong,MANAJEMEN INVESTASI BANK,I,6,9,5,20
TES-AKD-2026-00022,galurwibow116@pln.co.id,Galur Wibowo,TEKNIK PERTAMBANGAN,I,8,6,9,23
TES-AKD-2026-00023,amaliaagus555@yahoo.com,Amalia Agustina,KONVERSI ENERGI,II,6,6,5,17
TES-AKD-2026-00024,pandupange129@gmail.com,Pandu Pangestu,PROGRAM STUDI LAINNYA NON TEKNIK,I,6,5,6,17
TES-AKD-2026-00025,harisihota944@pln.co.id,Hari Sihotang,KOMUNIKASI,I,5,9,5,19
TES-AKD-2026-00026,ikinhidaya658@pln.co.id,Ikin Hidayanto,TEKNIK MESIN,I,8,5,8,21
TES-AKD-2026-00027,rahminasyi858@pln.co.id,Rahmi Nasyidah,ADMINISTRASI BISNIS,I,10,9,7,26
TES-AKD-2026-00028,bakimanram767@yahoo.com,Bakiman Ramadan,AKUNTANSI,I,6,6,7,19
TES-AKD-2026-00029,primautama257@yahoo.com,Prima Utama,MANAJEMEN BISNIS,III,6,8,5,19
TES-AKD-2026-00030,jayadimang376@pln.co.id,Jayadi Mangunsong,MANAJEMEN PROYEK,I,6,7,5,18
TES-AKD-2026-00031,umaylatupo271@pln.co.id,Umay Latupono,KOMUNIKASI,II,7,7,6,20
TES-AKD-2026-00032,sakuranurd357@outlook.com,Sakura Nurdiyanti,KEUANGAN,I,5,5,6,16
TES-AKD-2026-00033,ismailpras401@outlook.com,Ismail Prasetyo,TEKNIK KIMIA,I,6,6,6,18
TES-AKD-2026-00034,mutiausada586@outlook.com,Mutia Usada,TEKNIK SIPIL,I,8,6,7,21
TES-AKD-2026-00035,darmajitam633@yahoo.com,Darmaji Tampubolon,TEKNIK PERTAMBANGAN,I,6,7,6,19
TES-AKD-2026-00036,dianpermat545@yahoo.com,Dian Permata,KONVERSI ENERGI,II,7,6,6,19
TES-AKD-2026-00037,limanmegan476@outlook.com,Liman Megantara,ENERGI BARU TERBARUKAN,II,9,7,6,22
TES-AKD-2026-00038,calistasur250@gmail.com,Calista Suryatmi,HUKUM,I,5,10,6,21
TES-AKD-2026-00039,puputsusan396@outlook.com,Puput Susanti,ADMINISTRASI BISNIS,I,5,9,7,21
TES-AKD-2026-00040,hanisuarti169@gmail.com,Hani Suartini,ADMINISTRASI BISNIS,III,8,10,7,25
TES-AKD-2026-00041,kanisusant824@pln.co.id,Kani Susanti,TEKNIK ELEKTRO,II,7,4,8,19
TES-AKD-2026-00042,halimawina82@outlook.com,Halima Winarsih,DATA SCIENCE,I,5,6,6,17
TES-AKD-2026-00043,karsanajai220@yahoo.com,Karsana Jailani,TEKNIK SIPIL,I,9,7,8,24
TES-AKD-2026-00044,melindarah851@pln.co.id,Melinda Rahayu,MANAJEMEN,I,5,9,6,20
TES-AKD-2026-00045,chelseawul339@outlook.com,Chelsea Wulandari,MANAJEMEN PEMASARAN,I,6,5,6,17
TES-AKD-2026-00046,rikawahyun444@gmail.com,Rika Wahyuni,MANAJEMEN PEMASARAN,I,6,6,8,20
TES-AKD-2026-00047,ichapuspit109@yahoo.com,Icha Puspita,ENERGI BARU TERBARUKAN,I,7,4,7,18
TES-AKD-2026-00048,martakabud343@gmail.com,Martaka Budiman,AKUNTANSI,III,3,4,10,17
TES-AKD-2026-00049,onisuryatm80@pln.co.id,Oni Suryatmi,DIGITAL MARKETING DAN ANALYTICS,I,10,6,4,20
TES-AKD-2026-00050,dalimasudi565@gmail.com,Dalima Sudiati,MANAJEMEN BISNIS,I,5,8,7,20
TES-AKD-2026-00051,auroraandr625@outlook.com,Aurora Andriani,DIGITAL MARKETING DAN ANALYTICS,I,7,6,4,17
TES-AKD-2026-00052,pariswinar290@gmail.com,Paris Winarsih,TEKNIK LISTRIK,I,7,6,10,23
TES-AKD-2026-00053,najammanul409@pln.co.id,Najam Manullang,MANAJEMEN PEMASARAN,I,6,7,4,17
TES-AKD-2026-00054,danujapray755@gmail.com,Danuja Prayoga,ADMINISTRASI BISNIS,I,7,8,8,23
TES-AKD-2026-00055,sabrisalah23@gmail.com,Sabri Salahudin,MANAJEMEN,I,10,7,7,24
TES-AKD-2026-00056,lidyakusma310@pln.co.id,Lidya Kusmawati,HUKUM,I,6,7,8,21
TES-AKD-2026-00057,fitrianimu891@pln.co.id,Fitriani Mulyani,ELEKTRONIKA DAN INSTRUMENTASI,I,7,3,5,15
TES-AKD-2026-00058,rinipratiw912@outlook.com,Rini Pratiwi,MANAJEMEN PROYEK,I,4,9,5,18
TES-AKD-2026-00059,balamantri984@outlook.com,Balamantri Prasetyo,MANAJEMEN PEMASARAN,I,3,10,7,20
TES-AKD-2026-00060,lintanghas841@pln.co.id,Lintang Hassanah,TEKNIK MESIN,I,6,7,10,23
TES-AKD-2026-00061,julisafitr107@outlook.com,Juli Safitri,PSIKOLOGI,I,6,8,9,23
TES-AKD-2026-00062,wanisafitr579@yahoo.com,Wani Safitri,TEKNIK MESIN,I,10,5,7,22
TES-AKD-2026-00063,ikanurdiya14@yahoo.com,Ika Nurdiyanti,AKUNTANSI,III,5,8,5,18
TES-AKD-2026-00064,harsayapra702@outlook.com,Harsaya Prabowo,PROGRAM STUDI LAINNYA NON TEKNIK,I,6,6,7,19
TES-AKD-2026-00065,pranatamar157@gmail.com,Pranata Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,I,5,5,9,19
TES-AKD-2026-00066,kaylamayas40@gmail.com,Kayla Mayasari,MANAJEMEN BISNIS,II,7,7,6,20
TES-AKD-2026-00067,rinipurwan196@yahoo.com,Rini Purwanti,TEKNIK KIMIA,II,7,6,10,23
TES-AKD-2026-00068,marwataman458@yahoo.com,Marwata Mandala,TEKNIK KIMIA,I,6,7,10,23
TES-AKD-2026-00069,akarsanada195@gmail.com,Akarsana Damanik,TEKNIK INFORMATIKA,I,5,6,6,17
