NO TES,EMAIL,NAMA,PRODI,SKOR,REKOMENDASI,HASIL
TES-AKD-2026-00007,edihutapea932@yahoo.com,Edi Hutapea,TEKNIK INDUSTRI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00021,endramangu898@yahoo.com,Endra Mangunsong,MANAJEMEN INVESTASI BANK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00024,pandupange129@gmail.com,Pandu Pangestu,PROGRAM STUDI LAINNYA NON TEKNIK,21,DISARANKAN,LOLOS
TES-AKD-2026-00026,ikinhidaya658@pln.co.id,Ikin Hidayanto,TEKNIK MESIN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00027,rahminasyi858@pln.co.id,Rahmi Nasyidah,ADMINISTRASI BISNIS,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00028,bakimanram767@yahoo.com,Bakiman Ramadan,AKUNTANSI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00039,puputsusan396@outlook.com,Puput Susanti,ADMINISTRASI BISNIS,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00049,onisuryatm80@pln.co.id,Oni Suryatmi,DIGITAL MARKETING DAN ANALYTICS,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00051,auroraandr625@outlook.com,Aurora Andriani,DIGITAL MARKETING DAN ANALYTICS,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00053,najammanul409@pln.co.id,Najam Manullang,MANAJEMEN PEMASARAN,21,DISARANKAN,LOLOS
TES-AKD-2026-00054,danujapray755@gmail.com,Danuja Prayoga,ADMINISTRASI BISNIS,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00057,fitrianimu891@pln.co.id,Fitriani Mulyani,ELEKTRONIKA DAN INSTRUMENTASI,23,DISARANKAN,LOLOS
TES-AKD-2026-00058,rinipratiw912@outlook.com,Rini Pratiwi,MANAJEMEN PROYEK,25,DISARANKAN,LOLOS
TES-AKD-2026-00060,lintanghas841@pln.co.id,Lintang Hassanah,TEKNIK MESIN,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00068,marwataman458@yahoo.com,Marwata Mandala,TEKNIK KIMIA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00078,jasminmaya472@outlook.com,Jasmin Mayasari,ADMINISTRASI BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-00079,kuntharanu871@pln.co.id,Kunthara Nugroho,TEKNIK BIOENERGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00082,aswanirama664@yahoo.com,Aswani Ramadan,KEUANGAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00084,digdayanar807@outlook.com,Digdaya Narpati,KONVERSI ENERGI,26,DISARANKAN,LOLOS
TES-AKD-2026-00091,nurulyunia353@pln.co.id,Nurul Yuniar,TEKNIK MATERIAL,25,DISARANKAN,LOLOS
TES-AKD-2026-00103,iraastuti801@yahoo.com,Ira Astuti,SAFETY ENGINEERING,21,DISARANKAN,LOLOS
TES-AKD-2026-00105,mustofamar23@pln.co.id,Mustofa Marpaung,PSIKOLOGI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00106,tirtayasap83@gmail.com,Tirtayasa Prasetyo,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-00107,anaaryani103@gmail.com,Ana Aryani,ADMINISTRASI BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00110,putrirahma721@outlook.com,Putri Rahmawati,MANAJEMEN KEUANGAN,21,DISARANKAN,LOLOS
TES-AKD-2026-00111,fitriakusw374@gmail.com,Fitria Kuswandari,TEKNIK GEODESI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00112,saktimangu342@yahoo.com,Sakti Mangunsong,MANAJEMEN ASET,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00114,mujurlatup238@yahoo.com,Mujur Latupono,TEKNIK ELEKTRO,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00115,maryadiadr425@outlook.com,Maryadi Adriansyah,ADMINISTRASI,22,DISARANKAN,LOLOS
TES-AKD-2026-00119,olgamahesw52@yahoo.com,Olga Maheswara,ADMINISTRASI BISNIS,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00121,umimulyani516@outlook.com,Umi Mulyani,KESELAMATAN DAN KESEHATAN KERJA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00128,balidinsih353@gmail.com,Balidin Sihombing,PSIKOLOGI,22,DISARANKAN,LOLOS
TES-AKD-2026-00136,zulfasuart148@pln.co.id,Zulfa Suartini,AKUNTANSI,24,DISARANKAN,LOLOS
TES-AKD-2026-00138,jumadilazu450@outlook.com,Jumadi Lazuardi,KOMUNIKASI,21,DISARANKAN,LOLOS
TES-AKD-2026-00140,martanamus433@outlook.com,Martana Mustofa,MANAJEMEN BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00146,cakrabuana520@outlook.com,Cakrabuana Januar,ADMINISTRASI BISNIS,24,DISARANKAN,LOLOS
TES-AKD-2026-00150,garandabuk412@gmail.com,Garan Dabukke,AKUNTANSI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00151,zamiralaks98@gmail.com,Zamira Laksmiwati,MANAJEMEN INVESTASI BANK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00152,faizahyola389@gmail.com,Faizah Yolanda,SUPPLY CHAIN MANAGEMENT,1,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00189,ginapermat429@pln.co.id,Gina Permata,TEKNIK ELEKTRO,22,DISARANKAN,LOLOS
TES-AKD-2026-00192,lalapermat945@pln.co.id,Lala Permata,TEKNIK GEOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00196,najamardia367@outlook.com,Najam Ardianto,TEKNIK INDUSTRI,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00209,danudongor368@outlook.com,Danu Dongoran,TEKNIK KIMIA,25,DISARANKAN,LOLOS
TES-AKD-2026-00210,salwahariy35@yahoo.com,Salwa Hariyah,MANAJEMEN PROYEK,25,DISARANKAN,LOLOS
TES-AKD-2026-00213,anggabayah605@gmail.com,Anggabaya Hutasoit,ELEKTRONIKA DAN INSTRUMENTASI,22,DISARANKAN,LOLOS
TES-AKD-2026-00216,kaninasyid524@pln.co.id,Kani Nasyidah,SAFETY ENGINEERING,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00223,balanggabu947@outlook.com,Balangga Budiyanto,TEKNIK INFORMATIKA,27,DISARANKAN,LOLOS
TES-AKD-2026-00226,ramawinarn561@gmail.com,Rama Winarno,MANAJEMEN KEUANGAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00229,aisyahnura94@gmail.com,Aisyah Nuraini,DATA SCIENCE,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00230,damarlatup193@gmail.com,Damar Latupono,ENERGI BARU TERBARUKAN,24,DISARANKAN,LOLOS
TES-AKD-2026-00232,herupraset298@pln.co.id,Heru Prasetyo,TEKNIK BIOENERGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00235,cemaninapi737@gmail.com,Cemani Napitupulu,ELEKTRONIKA DAN INSTRUMENTASI,22,DISARANKAN,LOLOS
TES-AKD-2026-00237,raditsireg761@gmail.com,Radit Siregar,TEKNIK LISTRIK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00243,salimahlak380@gmail.com,Salimah Laksita,TEKNIK MESIN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00245,halimakusm620@gmail.com,Halima Kusmawati,PSIKOLOGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00247,olivianura932@gmail.com,Olivia Nuraini,TEKNIK KIMIA,22,DISARANKAN,LOLOS
TES-AKD-2026-00255,ananuraini578@gmail.com,Ana Nuraini,PROGRAM STUDI LAINNYA NON TEKNIK,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00257,lasmantowi436@pln.co.id,Lasmanto Wibowo,MATEMATIKA,23,DISARANKAN,LOLOS
TES-AKD-2026-00258,wawanmansu753@gmail.com,Wawan Mansur,MANAJEMEN PROYEK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00259,queenhasan479@outlook.com,Queen Hasanah,KOMUNIKASI,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00260,warsamansu671@gmail.com,Warsa Mansur,TEKNIK KIMIA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00268,nurulhalim813@gmail.com,Nurul Halimah,MANAJEMEN,22,DISARANKAN,LOLOS
TES-AKD-2026-00269,darijanpra858@outlook.com,Darijan Pradipta,TEKNIK KIMIA,27,DISARANKAN,LOLOS
TES-AKD-2026-00271,martakaman492@outlook.com,Martaka Mandala,TEKNIK BIOENERGI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00272,queenprast559@yahoo.com,Queen Prastuti,TEKNIK LISTRIK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00274,mitragunaw246@yahoo.com,Mitra Gunawan,MANAJEMEN PROYEK,29,DISARANKAN,LOLOS
TES-AKD-2026-00277,yogaanggri485@outlook.com,Yoga Anggriawan,AKUNTANSI,22,DISARANKAN,LOLOS
TES-AKD-2026-00281,auroranovi317@yahoo.com,Aurora Novitasari,ADMINISTRASI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00290,jessicahas907@pln.co.id,Jessica Hassanah,BIG DATA DAN BUSINESS INTELLIGENCE,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00296,cahyantopr748@outlook.com,Cahyanto Prasetyo,TEKNIK GEODESI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00297,perkasaper90@yahoo.com,Perkasa Permadi,TEKNIK MESIN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00301,tantrifari21@gmail.com,Tantri Farida,MANAJEMEN RISIKO,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00303,nilamsafit671@outlook.com,Nilam Safitri,TEKNIK PERTAMBANGAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00308,viviandria453@yahoo.com,Vivi Andriani,SUPPLY CHAIN MANAGEMENT,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00319,sucinurdiy952@outlook.com,Suci Nurdiyanti,ENERGI BARU TERBARUKAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00321,kenesperma98@pln.co.id,Kenes Permadi,MANAJEMEN RISIKO,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00323,sabrinawul994@outlook.com,Sabrina Wulandari,MANAJEMEN INVESTASI BANK,21,DISARANKAN,LOLOS
TES-AKD-2026-00326,panjimarbu191@yahoo.com,Panji Marbun,MANAJEMEN RISIKO,27,DISARANKAN,LOLOS
TES-AKD-2026-00331,gildasafit950@outlook.com,Gilda Safitri,HUKUM,22,DISARANKAN,LOLOS
TES-AKD-2026-00334,rainaoktav373@outlook.com,Raina Oktaviani,PROGRAM STUDI LAINNYA NON TEKNIK,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00338,zaenabmard14@outlook.com,Zaenab Mardhiyah,PSIKOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00342,jamilprano824@outlook.com,Jamil Pranowo,PUBLIC POLICY,29,DISARANKAN,LOLOS
TES-AKD-2026-00343,bagusbudim701@yahoo.com,Bagus Budiman,DATA SCIENCE,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00344,irmahanday986@yahoo.com,Irma Handayani,TEKNIK KIMIA,23,DISARANKAN,LOLOS
TES-AKD-2026-00348,taniamulya364@yahoo.com,Tania Mulyani,PUBLIC POLICY,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00351,febihalima686@yahoo.com,Febi Halimah,MANAJEMEN KEUANGAN,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00358,eliharyant139@outlook.com,Eli Haryanti,DIGITAL MARKETING DAN ANALYTICS,23,DISARANKAN,LOLOS
TES-AKD-2026-00361,irsadsitor94@outlook.com,Irsad Sitorus,TEKNIK KIMIA,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00373,zeldahalim801@gmail.com,Zelda Halimah,TEKNIK INDUSTRI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00374,tinaprastu563@gmail.com,Tina Prastuti,TEKNIK ELEKTRO,25,DISARANKAN,LOLOS
TES-AKD-2026-00378,sabrinanas471@outlook.com,Sabrina Nasyiah,MANAJEMEN KEUANGAN,23,DISARANKAN,LOLOS
TES-AKD-2026-00400,baktionobu448@yahoo.com,Baktiono Budiyanto,TEKNIK GEOLOGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00402,pranawasap824@pln.co.id,Pranawa Saputra,TEKNIK BIOENERGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00407,mulyantofi701@gmail.com,Mulyanto Firmansyah,TEKNIK LINGKUNGAN,26,DISARANKAN,LOLOS
TES-AKD-2026-00408,tirtayasam814@yahoo.com,Tirtayasa Mahendra,PUBLIC POLICY,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00413,rikaastuti729@gmail.com,Rika Astuti,MANAJEMEN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00416,rainaprast636@pln.co.id,Raina Prastuti,TEKNIK GEOLOGI,23,DISARANKAN,LOLOS
TES-AKD-2026-00417,ismailhali173@pln.co.id,Ismail Halim,MANAJEMEN BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00420,elisanurai928@outlook.com,Elisa Nuraini,SUPPLY CHAIN MANAGEMENT,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00427,ulyawahyun882@pln.co.id,Ulya Wahyuni,MANAJEMEN BISNIS,23,DISARANKAN,LOLOS
TES-AKD-2026-00430,humairapud27@pln.co.id,Humaira Pudjiastuti,TEKNIK KIMIA,23,DISARANKAN,LOLOS
TES-AKD-2026-00431,qoriwijaya63@gmail.com,Qori Wijayanti,TEKNIK SIPIL,22,DISARANKAN,LOLOS
TES-AKD-2026-00435,darijanpra53@yahoo.com,Darijan Prasasta,HUKUM,23,DISARANKAN,LOLOS
TES-AKD-2026-00441,tiaralaksi138@pln.co.id,Tiara Laksita,MANAJEMEN PROYEK,24,DISARANKAN,LOLOS
TES-AKD-2026-00442,dianawinar254@outlook.com,Diana Winarsih,ENERGI BARU TERBARUKAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00447,harjasawas951@yahoo.com,Harjasa Wasita,TEKNIK LINGKUNGAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00452,salsabilah306@pln.co.id,Salsabila Hartati,SUPPLY CHAIN MANAGEMENT,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00455,hamimaprat402@pln.co.id,Hamima Pratiwi,KEUANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00456,gilanghary933@yahoo.com,Gilang Haryanto,TEKNIK SIPIL,21,DISARANKAN,LOLOS
TES-AKD-2026-00457,intansuart703@outlook.com,Intan Suartini,MATEMATIKA,22,DISARANKAN,LOLOS
TES-AKD-2026-00464,aisyahsafi325@yahoo.com,Aisyah Safitri,MANAJEMEN KEUANGAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00465,gildayolan968@outlook.com,Gilda Yolanda,PROGRAM STUDI LAINNYA NON TEKNIK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00466,jaimanmaul446@outlook.com,Jaiman Maulana,TEKNIK KIMIA,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00468,udasihombi205@outlook.com,Uda Sihombing,TEKNIK MESIN,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00480,febimandas469@yahoo.com,Febi Mandasari,ADMINISTRASI BISNIS,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00481,betaniamel514@pln.co.id,Betania Melani,MANAJEMEN,27,DISARANKAN,LOLOS
TES-AKD-2026-00487,malikariya881@yahoo.com,Malika Riyanti,MANAJEMEN BISNIS,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00492,rinamardhi768@outlook.com,Rina Mardhiyah,PROGRAM STUDI LAINNYA TEKNIK,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00497,jamaliawas865@yahoo.com,Jamalia Wastuti,TEKNIK MESIN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00499,gaimantari593@yahoo.com,Gaiman Tarihoran,TEKNIK SIPIL,23,DISARANKAN,LOLOS
TES-AKD-2026-00501,lembahmanu225@gmail.com,Lembah Manullang,MANAJEMEN,28,DISARANKAN,LOLOS
TES-AKD-2026-00502,kenariwask804@gmail.com,Kenari Waskita,TEKNIK KIMIA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00507,kamarianam853@gmail.com,Kamaria Namaga,HUKUM,27,DISARANKAN,LOLOS
TES-AKD-2026-00522,bakiaditam789@yahoo.com,Bakiadi Tamba,TEKNIK INFORMATIKA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
