kandidat_id,hubungan_keluarga,alamat,no_telp,pekerjaan
1,Ayah,Jl. Cempaka No. 39,086458710564,Ibu Rumah Tangga
1,Kakak,Jl. Kenanga No. 88,080017550324,Karyawan Swasta
2,Suami,Jl. Veteran No. 49,081635338019,Buruh
5,Kakak,Jl. Ahmad Yani No. 147,084312871136,Ibu Rumah Tangga
6,Ibu,Jl. Cendana No. 124,084459029638,Buruh
7,Wali,Jl. Cendana No. 26,082337116511,Wiraswasta
7,Suami,Jl. Anggrek No. 154,087735710402,Karyawan Swasta
9,Adik,Jl. Diponegoro No. 198,086047033435,Ibu Rumah Tangga
11,Wali,Jl. Mawar No. 126,087228813275,PNS
12,Adik,Jl. Cendana No. 40,080134953087,Guru
12,Istri,Jl. Kenanga No. 74,083205608864,Petani
14,Istri,Jl. Pahlawan No. 71,080933300292,Pensiunan
15,Adik,Jl. Cempaka No. 139,087571629324,Ibu Rumah Tangga
15,Ibu,Jl. Diponegoro No. 61,083743457997,Wiraswasta
17,Kakak,Jl. Anggrek No. 65,088173507557,Ibu Rumah Tangga
17,Suami,Jl. Cempaka No. 120,081632989846,Ibu Rumah Tangga
18,Wali,Jl. Pahlawan No. 30,084465006898,Buruh
18,Istri,Jl. Melati No. 37,081176996244,Pensiunan
19,Istri,Jl. Melati No. 62,085761747693,Karyawan Swasta
19,Ayah,Jl. Pahlawan No. 5,084746944824,Pensiunan
21,Ibu,Jl. Ahmad Yani No. 19,080838630233,Ibu Rumah Tangga
22,Adik,Jl. Anggrek No. 194,085027548738,Ibu Rumah Tangga
22,Istri,Jl. Mawar No. 58,087380694207,Ibu Rumah Tangga
23,Ibu,Jl. Pahlawan No. 135,083133004225,Petani
24,Wali,Jl. Gatot Subroto No. 139,082312000195,Petani
25,Suami,Jl. Cendana No. 94,080856852902,Pensiunan
25,Ibu,Jl. Sudirman No. 102,087082344322,Karyawan Swasta
27,Ibu,Jl. Merdeka No. 155,086958493119,Karyawan Swasta
27,Wali,Jl. Diponegoro No. 23,080341814730,Ibu Rumah Tangga
28,Ayah,Jl. Anggrek No. 104,080517698687,Ibu Rumah Tangga
31,Adik,Jl. Cempaka No. 28,080244940514,Buruh
31,Ayah,Jl. Pahlawan No. 194,083758163028,Pensiunan
32,Istri,Jl. Cempaka No. 73,081760548370,Guru
32,Ibu,Jl. Anggrek No. 132,087200258084,PNS
33,Wali,Jl. Pahlawan No. 50,084900955385,Ibu Rumah Tangga
34,Suami,Jl. Mawar No. 28,085603934224,Guru
34,Istri,Jl. Veteran No. 1,080815398913,Wiraswasta
35,Suami,Jl. Melati No. 78,082640167248,Ibu Rumah Tangga
35,Kakak,Jl. Mawar No. 194,084743639069,Pensiunan
36,Wali,Jl. Gatot Subroto No. 175,084256405971,Wiraswasta
37,Kakak,Jl. Flamboyan No. 178,083951709679,PNS
37,Wali,Jl. Sudirman No. 67,087215058264,Petani
38,Ibu,Jl. Merdeka No. 20,083855629335,Pensiunan
38,Wali,Jl. Kenanga No. 164,087516423144,Pensiunan
39,Wali,Jl. Mawar No. 81,086579962216,Petani
39,Ibu,Jl. Gatot Subroto No. 120,086965328602,Pensiunan
40,Suami,Jl. Melati No. 54,082651076197,Guru
43,Istri,Jl. Gatot Subroto No. 94,087233249632,Pensiunan
47,Adik,Jl. Kartini No. 167,082509395165,Ibu Rumah Tangga
48,Ayah,Jl. Merdeka No. 199,082114489920,PNS
48,Adik,Jl. Cendana No. 14,081915995961,Karyawan Swasta
49,Suami,Jl. Merdeka No. 112,086645317132,Guru
