ID_PENDAFTARAN,EMAIL,NO_TES,VACANCY_ID_PLAN,MATCH_SCORE_PLAN,MATCH_CATEGORY_PLAN,CONTRACT_STATUS,CONTRACT_DATE,CONTRACT_REJECTION_REASON,ACTUAL_VACANCY_ID,ACTUAL_POSITION_NAME,ACTUAL_UNIT_NAME,ACTUAL_LOCATION,IS_SYNTHETIC
REG-2026-00001,manahprano394@pln.co.id,,VAC-009,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00002,keziapuspa991@yahoo.com,TES-AKD-2026-00001,VAC-015,98.8,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00003,taliautami23@yahoo.com,TES-AKD-2026-00002,VAC-002,96.1,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00004,dinasafitr356@yahoo.com,TES-AKD-2026-00003,VAC-007,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00005,opheliaary428@outlook.com,,VAC-002,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00006,cakrabuana37@gmail.com,TES-AKD-2026-00004,VAC-028,67.9,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00007,maidausama525@outlook.com,TES-AKD-2026-00005,VAC-023,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00008,garangdong562@gmail.com,TES-AKD-2026-00006,VAC-040,99.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00009,edihutapea932@yahoo.com,TES-AKD-2026-00007,VAC-003,97.1,STRONG_MATCH,SIGNED,2026-05-19,,VAC-003,Engineer Pemeliharaan,PLN UID Jawa Timur,Surabaya,1
REG-2026-00010,umayutama702@gmail.com,TES-AKD-2026-00008,VAC-034,96.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00011,garaharyan541@pln.co.id,TES-AKD-2026-00009,VAC-003,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00012,julihartat113@gmail.com,TES-AKD-2026-00010,VAC-004,93.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00013,argonoadri87@yahoo.com,TES-AKD-2026-00011,VAC-006,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00014,gandihakim672@pln.co.id,TES-AKD-2026-00012,VAC-028,69.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00015,gabriellap992@outlook.com,TES-AKD-2026-00013,VAC-001,66.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00016,yunitapusp576@pln.co.id,,VAC-016,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00017,aslijannap681@pln.co.id,TES-AKD-2026-00014,VAC-013,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00018,dartonolat509@yahoo.com,TES-AKD-2026-00015,VAC-003,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00019,karenwahyu877@yahoo.com,TES-AKD-2026-00016,VAC-002,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00020,azaleakusw746@yahoo.com,TES-AKD-2026-00017,VAC-001,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00021,kasusrapra572@outlook.com,TES-AKD-2026-00018,VAC-048,41.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00022,maimunahsu379@gmail.com,TES-AKD-2026-00019,VAC-006,69.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00023,prabumusto484@outlook.com,,VAC-001,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00024,rahayulail22@pln.co.id,,VAC-047,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00025,kalahakim419@yahoo.com,TES-AKD-2026-00020,VAC-015,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00026,endramangu898@yahoo.com,TES-AKD-2026-00021,VAC-036,67.5,MODERATE_MATCH,SIGNED,2026-06-26,,VAC-036,Spesialis K3L,PLN UIP Kalimantan Timur,Balikpapan,1
REG-2026-00027,galurwibow116@pln.co.id,TES-AKD-2026-00022,VAC-004,67.4,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00028,amaliaagus555@yahoo.com,TES-AKD-2026-00023,VAC-002,96.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00029,pandupange129@gmail.com,TES-AKD-2026-00024,VAC-003,68.7,MODERATE_MATCH,REJECTED,,PERSONAL_REASON,,,,,1
REG-2026-00030,cindynasyi775@pln.co.id,,VAC-022,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00031,harisihota944@pln.co.id,TES-AKD-2026-00025,VAC-018,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00032,ismailmahe864@pln.co.id,,VAC-013,41.5,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00033,ikinhidaya658@pln.co.id,TES-AKD-2026-00026,VAC-048,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00034,rahminasyi858@pln.co.id,TES-AKD-2026-00027,VAC-010,94.4,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00035,bakimanram767@yahoo.com,TES-AKD-2026-00028,VAC-051,66.3,MODERATE_MATCH,SIGNED,2026-06-02,,VAC-051,Spesialis K3L,PLN UID Jawa Timur,Surabaya,1
REG-2026-00036,primautama257@yahoo.com,TES-AKD-2026-00029,VAC-007,67.9,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00037,jayadimang376@pln.co.id,TES-AKD-2026-00030,VAC-034,67.7,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00038,umaylatupo271@pln.co.id,TES-AKD-2026-00031,VAC-004,64.5,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00039,sakuranurd357@outlook.com,TES-AKD-2026-00032,VAC-001,64.9,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00040,ismailpras401@outlook.com,TES-AKD-2026-00033,VAC-011,98.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00041,mutiausada586@outlook.com,TES-AKD-2026-00034,VAC-003,66.6,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00042,darmajitam633@yahoo.com,TES-AKD-2026-00035,VAC-004,64.3,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00043,dianpermat545@yahoo.com,TES-AKD-2026-00036,VAC-002,93.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00044,limanmegan476@outlook.com,TES-AKD-2026-00037,VAC-002,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00045,calistasur250@gmail.com,TES-AKD-2026-00038,VAC-003,69.1,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00046,puputsusan396@outlook.com,TES-AKD-2026-00039,VAC-003,69.9,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00047,hanisuarti169@gmail.com,TES-AKD-2026-00040,VAC-005,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00048,kanisusant824@pln.co.id,TES-AKD-2026-00041,VAC-035,68.6,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00049,halimawina82@outlook.com,TES-AKD-2026-00042,VAC-003,68.9,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00050,karsanajai220@yahoo.com,TES-AKD-2026-00043,VAC-002,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00051,melindarah851@pln.co.id,TES-AKD-2026-00044,VAC-026,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00052,chelseawul339@outlook.com,TES-AKD-2026-00045,VAC-048,64.2,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00053,rikawahyun444@gmail.com,TES-AKD-2026-00046,VAC-008,64.5,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00054,ichapuspit109@yahoo.com,TES-AKD-2026-00047,VAC-002,95.7,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00055,martakabud343@gmail.com,TES-AKD-2026-00048,VAC-003,67.8,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00056,onisuryatm80@pln.co.id,TES-AKD-2026-00049,VAC-012,68.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00057,dalimasudi565@gmail.com,TES-AKD-2026-00050,VAC-019,93.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00058,auroraandr625@outlook.com,TES-AKD-2026-00051,VAC-007,68.9,MODERATE_MATCH,SIGNED,2026-05-31,,VAC-011,Spesialis K3L,PLN UIW Papua,Jayapura,1
REG-2026-00059,pariswinar290@gmail.com,TES-AKD-2026-00052,VAC-001,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00060,bakimanhar179@yahoo.com,,VAC-006,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00061,najammanul409@pln.co.id,TES-AKD-2026-00053,VAC-012,63.9,LOW_MATCH,SIGNED,2026-06-23,,VAC-009,Data Analyst,PLN UIP Sulawesi,Makassar,1
REG-2026-00062,danujapray755@gmail.com,TES-AKD-2026-00054,VAC-019,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00063,sabrisalah23@gmail.com,TES-AKD-2026-00055,VAC-010,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00064,lidyakusma310@pln.co.id,TES-AKD-2026-00056,VAC-012,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00065,fitrianimu891@pln.co.id,TES-AKD-2026-00057,VAC-022,94.0,STRONG_MATCH,SIGNED,2026-04-25,,VAC-022,Engineer Sistem Tenaga,PLN Kantor Pusat,Jakarta,1
REG-2026-00066,rinipratiw912@outlook.com,TES-AKD-2026-00058,VAC-008,92.3,STRONG_MATCH,SIGNED,2026-05-07,,VAC-008,Engineer Proyek Sipil,PLN UID Jawa Timur,Surabaya,1
REG-2026-00067,balamantri984@outlook.com,TES-AKD-2026-00059,VAC-041,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00068,lintanghas841@pln.co.id,TES-AKD-2026-00060,VAC-003,97.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00069,julisafitr107@outlook.com,TES-AKD-2026-00061,VAC-004,64.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00070,wanisafitr579@yahoo.com,TES-AKD-2026-00062,VAC-004,69.6,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00071,ikanurdiya14@yahoo.com,TES-AKD-2026-00063,VAC-002,62.2,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00072,harsayapra702@outlook.com,TES-AKD-2026-00064,VAC-001,69.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00073,pranatamar157@gmail.com,TES-AKD-2026-00065,VAC-009,96.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00074,kaylamayas40@gmail.com,TES-AKD-2026-00066,VAC-004,69.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00075,rinipurwan196@yahoo.com,TES-AKD-2026-00067,VAC-008,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00076,marwataman458@yahoo.com,TES-AKD-2026-00068,VAC-002,99.6,STRONG_MATCH,SIGNED,2026-05-17,,VAC-006,Spesialis K3L,PLN UIW Papua,Jayapura,1
REG-2026-00077,akarsanada195@gmail.com,TES-AKD-2026-00069,VAC-004,98.1,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00078,rosmanmahe808@outlook.com,,VAC-010,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00079,pangestusi944@outlook.com,TES-AKD-2026-00070,VAC-009,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00080,omansaragi891@outlook.com,TES-AKD-2026-00071,VAC-049,66.9,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00081,unggultari466@yahoo.com,TES-AKD-2026-00072,VAC-002,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00082,wasisputra673@outlook.com,TES-AKD-2026-00073,VAC-004,98.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00083,yunimaryat11@gmail.com,TES-AKD-2026-00074,VAC-023,65.2,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00084,bellaperti119@outlook.com,TES-AKD-2026-00075,VAC-018,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00085,darmanmaul672@gmail.com,TES-AKD-2026-00076,VAC-025,69.3,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00086,pujisusant220@outlook.com,TES-AKD-2026-00077,VAC-009,99.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00087,jasminmaya472@outlook.com,TES-AKD-2026-00078,VAC-002,59.9,LOW_MATCH,SIGNED,2026-06-16,,VAC-002,Engineer Energi Terbarukan,PLN UID Jawa Barat,Bandung,1
REG-2026-00088,kuntharanu871@pln.co.id,TES-AKD-2026-00079,VAC-020,69.5,MODERATE_MATCH,SIGNED,2026-06-09,,VAC-020,Analis Legal,PLN UIP Kalimantan Timur,Balikpapan,1
REG-2026-00089,cahyosanto381@gmail.com,TES-AKD-2026-00080,VAC-013,64.5,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00090,adesantoso638@pln.co.id,TES-AKD-2026-00081,VAC-001,69.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00091,martanikur906@yahoo.com,,VAC-036,39.7,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00092,zizilestar810@gmail.com,,VAC-006,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00093,aswanirama664@yahoo.com,TES-AKD-2026-00082,VAC-002,69.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00094,hasimprayo813@gmail.com,TES-AKD-2026-00083,VAC-005,68.4,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
